id;spp;countryCode;stateProvince;locality;lon;lat
19642;Acalypha villosa ;CO;Magdalena;In forest along indian trail to Pueblito, Parque Nacional Tayrona.;-73.966667;11.316667
19643;Acalypha villosa ;CO;La guajira;SerranÃ­a de Macuira, ladera oriental del cerro Yauanauas.;-71.324511;12.174755
20240;Acalypha villosa ;CO;BolÃ­var;Santuario Los Colorados;-75.110556;9.859167
20260;Acalypha villosa ;CO;Antioquia;VÃ­a SantaFe de Antioquia-Caicedo, A orilla de carretera, hacia el alto de Franco;-75.843944;6.453528
20295;Acalypha villosa ;CO;Casanare;Vereda CabaÃ±as;-72.795472;5.054167
20297;Acalypha villosa ;CO;BolÃ­var;Vereda CaÃ±abraval Bajo. Bosque de Los Barriles.;-73.974694;7.436
21215;Acalypha villosa ;CO;Caldas;Finca Los Jazmines;-75.16336;5.398139
21216;Acalypha villosa ;CO;Caldas;Vereda Lisboa;-75.598991;5.125912
21660;Acalypha villosa ;GY;Potaro-Siparuni;Approximately 1 km N of Kato, along trail to Paramakatoi;-59.9167;4.66667
22542;Acalypha villosa ;CO;Magdalena;;-74.5;10
22789;Acalypha villosa ;VE;Distrito Federal / Vargas;Carretera viaja Caracas-La Guaira. Quebrada de Tacagua.;-66.945;10.585
22878;Acalypha villosa ;VE;Portuguesa;Parque Nacional Guache. Chorro de San Miguel.;-69.55;9.57
22972;Acalypha villosa ;BR;RondÃ´nia;Mun Costa Marques, ca 5 km NW of Costa Marques.;-64.23;-12.42
22980;Acalypha villosa ;VE;BolÃ­var;Edo Monagas. San Felix de Caicara.;-63.63;9.95
23057;Acalypha villosa ;BO;Santa Cruz;Prov. Andres Ibanez, 8 km SSE of Cotoca on road to Paurito.;-62.97;-17.82
23074;Acalypha villosa ;CO;Magdalena;Along trail to Pueblito, Parque Nacional Tayrona.;-73.97;11.32
23080;Acalypha villosa ;BR;Mato Grosso;Mun Caceres: 45 km SE of Pontes e Lacerda on road to Caceres (BR 174).;-59.03;-15.47
23093;Acalypha villosa ;CO;Magdalena;Along trail to Pueblito, Parque Nacional Tayrona.;-73.97;11.32
23991;Acalypha villosa ;CO;La Guajira;VÃ­a Mingueo a Pueblo Viejo, Bosque de la Cueva, 15 km S de Mingueo;-73.466667;11.083333
24548;Acalypha villosa ;CO;Magdalena;PNN Tayrona;;
24549;Acalypha villosa ;CO;BolÃ­var;Santuario Los Colorados;-75.110556;9.859167
24748;Acalypha villosa ;BO;Santa Cruz;Las Trancas, Lomerio, las parcelas de Bolfor, Las Trancas '95. Bosque seco chiquitano de Anadenanthera. Suelos laterÃ­ticos.;-61.84805;-16.52166
24789;Acalypha villosa ;BO;Santa Cruz;"Area de estudio del proyecto """"""""BOLFOR"""""""", Las Trancas-95. Bosque semideciduo chiquitano, vegetaciÃ³ saxÃ­cola y alredores de laja.";-61.84638;-16.52027
24791;Acalypha villosa ;BO;Santa Cruz;"Area de estudio del proyecto """"""""BOLFOR"""""""", Las Trancas-95. Bosque chiquitano, hidrofilo.";-61.84638;-16.52027
24797;Acalypha villosa ;PE;Tumbes;"Matapalo. Carretera entre """"""""El Caucho"""""""" y quebrada Naranjal.";-80.314722;-3.844167
24981;Acalypha villosa ;PE;Tumbes;"Matapalo, zona """"""""El Caucho-Campo Verde"""""""".  Parcelas de evaluaciÃ³n permanente (Eval. florÃ­stica) de 340 m a 420 m.  Parcela 2 x 500 m.  E-W. Colectado con H. Osores, M. Romero, M. Carero, R. OcaÃ±a, A. Grandez, H. DÃ­az & D. DÃ­az.";-80.25833;-3.84138
25029;Acalypha villosa ;CO;BolÃ­var;Municipio San Juan Nepomuceno.  Loma de los Colorados.  Bosque hÃºmedo, disturbado.;-75.166667;9.966667
25799;Acalypha villosa ;BO;Chuquisaca;CaÃ±on Heredia ca. 7 km antes de ingresar a Monteagudo. Zona semihÃºmeda con agua permantente, laderas con abundantes musgos y helechos Pendientes rocosas. Al fondo el RÃ­o Heredia. Son especies abundantes en las paredes hÃºmedas;;
26089;Acalypha villosa ;BO;Santa Cruz;Camino a cruce de Pucara a 2.3 km del pueblo de Vallegrande. Restos de bosque nublado, con algo de nuves pero no frecuentemente, presencia de Liquenes y arbustos de hasta 2 m de alto.;-64.11722;-18.50055
27363;Acalypha villosa ;BO;Santa Cruz;Bosque seco Chiquiatano cerca Las Trancas con Scinopsis brasilensis, Astronium urundeuva, Spondias mombin, Capparis prisca, Anadenanthera macrocarpa, Aspidosperma macrocarpon, Caesapinia pluviosa, Callesia integrifolia, Cariniana estrellensis, Substrato algo de latisol, arcilloso.;-61.84805;-16.51888
28069;Acalypha villosa ;VE;Portuguesa;Selva de galerÃ­a a lo largo del Rio MarÃ­a, Boca de Monte, 23 kms al norte del vado del RÃ­o Suruguapo, 38 kms al norte por la autopista Guanare-Ospino, en el sitio Las MarÃ­as, Oeste, al Norte de Guanare.;-69.71666;9.3
28070;Acalypha villosa ;BO;Santa Cruz;8 km. SSE of Cotoca on road to Paurito. Flat, remnant patch of nearly undisturbed semi-deciduous subtropical forest with many chaco elements.;-62.96666;-17.81666
28072;Acalypha villosa ;PE;Cusco;La Convencion Province Rio Manguriari ( Manguyari). Tropical Forests-Alto Urubamba;;
28074;Acalypha villosa ;BR;;Mun. Caceres;;
28075;Acalypha villosa ;VE;Zulia;Distrito Mara;;
28076;Acalypha villosa ;VE;Zulia;Distrito Mara;;
28077;Acalypha villosa ;VE;Zulia;Estado Zulia;;
28078;Acalypha villosa ;VE;BolÃ­var;Dist. CedeÃ±o, vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara. Semideciduous forest on granitic slopes and savanna. Forest. Wet, shaded area.;-66.5;6.91666
28079;Acalypha villosa ;VE;Zulia;Distrito Mara;;
28080;Acalypha villosa ;VE;Portuguesa;"Dtto. Guanare. Fundo """""""" El Chaparral"""""""" 16 km al N-O de Guanare. Bosques secundarios del margen derecho del RÃ­o Portuguesa.";-69.53333;9.06666
28081;Acalypha villosa ;VE;BolÃ­var;Base of igneous mountain. Igneous forested slopes, SerranÃ­a de Pijiguao, 160 km. SW of Caicara del Orinoco.;-66.75;6.58333
28082;Acalypha villosa ;VE;BolÃ­var;Municipio Cedeno San JosÃ© de KayamÃ¡, 45 km al N. Cerro Impacto, Sabanas quemadas periÃ³dicamente. Orilla rio Kayama afluente del Cuchivero.;-65.33333;6.31666
28083;Acalypha villosa ;VE;Zulia;Distrito Mara;;
28084;Acalypha villosa ;VE;Amazonas;Rio Negro, vegetaciÃ³n secundaria alrededor de vivienda Yanomami ( Shabono ) y vegetaciÃ³n original de los alrededores del Raudal PeÃ±ascal, en las cabeceras del RÃ­o Orinoco.;-64.33333;2.3
28086;Acalypha villosa ;VE;Zulia;Distrito mara;;
28087;Acalypha villosa ;BO;Santa Cruz;JardÃ­n BotÃ¡nico de Santa Cruz.;-63.066667;-17.766667
28088;Acalypha villosa ;VE;BolÃ­var;Municipio Cedeno. San JosÃ© de Kayamba, 45 km al N Cerro Impacto. Sabanas quemadas periÃ³dicamente. ORilla rio KayamÃ¡ afluente del Cuchivero.;-65.33333;6.31666
28089;Acalypha villosa ;VE;Distrito Federal;Depto. Libertador;;
28090;Acalypha villosa ;VE;Aragua;Carretera Altagracia de Orticuo-El Sombrero, 41 km NE de El Sombrero.;-66.81666;9.61666
28091;Acalypha villosa ;VE;Portuguesa;Selva de galerÃ­a a lo largo del Rio MarÃ­a, Boca de Monte, 23 kms al norte del vado del RÃ­o Suruguapo, 38 kms al norte por la autopista Guanare-Ospino, en el sitio Las MarÃ­as.;-69.71666;9.3
28092;Acalypha villosa ;VE;Portuguesa;Dtto. Guonare, terrenos de la UNELLEZ.;-69.81666;9.06666
28095;Acalypha villosa ;CO;Risaralda;Municipio de Pueblo Rico, corregimiento de Santa Cecilia, entre el rio Aguita y Quebrada Plunda.;-76.226475;5.292951
28097;Acalypha villosa ;VE;TÃ¡chira;Forested areas along RÃ­o Frio, between Junction of RÃ­o Quinimari and RÃ­p Frio, 8 km upstream to La Laguna, between Pubelo of RÃ­o Negro and La Laguna,.;-72.15361;7.59333
28098;Acalypha villosa ;VE;TÃ¡chira;Dry Evergreen forested slopes leading to vertical limestone bluff, between Las Dantas and Las Adjuntas, 13 km northwes tof Rubio.;-72.41666;7.71666
28099;Acalypha villosa ;VE;Aragua;Carretera Altagracia de Orituco El Sombrero, 41 km NE de El Sombrero.;-66.81666;9.61666
28105;Acalypha villosa ;BO;La Paz;Parque Nacional Madidi, Azariamas, 1 km al N del rio Chiriuno. Bosque de yungas subandino pluviestacional con Piptadenia viridiflora y Capparis polyantha. Terraza antigua. Parcela permanente de muestreo #19. Plantas NO alcoholizadas.;-68.585833;-14.246389
28171;Acalypha villosa ;BO;La Paz;Parque Nacional Madidi, rio Tuichi, Virgen del Rosario. Bosque andino semideciduo con Anadenanthera colubrina y Trichilia elegans;;
28172;Acalypha villosa ;BO;La Paz;Parque Nacional Madidi, rio Tuichi, Virgen del Rosario. Bosque andino semideciduo con Anadenanthera colubrina y Trichilia elegans;;
28493;Acalypha villosa ;BO;La Paz;Parque Nacional y Ãrea Natural de Manejo Integrado Madidi. NW de Apolo, Asariamas, RÃ­o Resina.;-68.559722;-14.33
28540;Acalypha villosa ;EC;Pichincha;Km. 37 on the road from Santa Domingo to Quevedo. Forest remnants on about 10 ha. left. Dominated by tall Ceiba, palms and Cecropia.;-79.41666;-0.53333
28542;Acalypha villosa ;EC;Esmeraldas;RÃ­o Santiago at ConcepciÃ³n. Riverside forest.;-78.81666;1.05
28543;Acalypha villosa ;EC;Esmeraldas;RÃ­o Cayapas, Cooperativa la Concordia, half an hour upstream from BorbÃ³n. Rain forest.;-79;1.05
28548;Acalypha villosa ;EC;Esmeraldas;Zapallo Grande, a mixed Afro-latin and Cayapa Amerindian community along RÃ­o Cayapa. Secondary vegetation and disturbed rain forests close to village.;-78.9;0.8
28883;Acalypha villosa ;VE;BolÃ­var;20 km E of La Paragua. Disturbed primary forest.;-63.25;6.93333
28928;Acalypha villosa ;BO;Santa Cruz;Camino hacia las Mecitas, a 5 Km. del asceradero Cerro Pelao sobre el cerro;-61.49777;-14.54305
28946;Acalypha villosa ;VE;FalcÃ³n;Sierra de San Luis. Piedra de Agua.;-69.66666;11.13333
28981;Acalypha villosa ;VE;TÃ¡chira;Distrito CÃ³rdoba: Cerro La Camiri, just south of the town of RÃ­o Negro. Steep lower, forested, sandstone cliffs with open landslide areas.;-72.16666;7.6
28983;Acalypha villosa ;BO;Santa Cruz;;-61.916667;-16.083333
29057;Acalypha villosa ;BO;La Paz;Parque Nacional Madidi, camino Apolo-Azariamas, arroyo Pintata. A 785 m del campamento en direccion W subiendo por el arroyo Pintata. Bosque seco de cima. Parcela Temporal de Muestreo 79 (0.1 ha).;-68.543055;-14.465278
29112;Acalypha villosa ;BO;La Paz;Ãrea Natural de Manejo Integrado Madidi, camino de Apolo-Azariamas, Arroyo Pintata.;-68.535833;-14.465833
29218;Acalypha villosa ;CO;Antioquia;Mpio. de Antioquia;;
29281;Acalypha villosa ;VE;Vargas;Road to electricity plant behind MaiquetÃ­a, near sea level.;-66.971389;10.596111
29311;Acalypha villosa ;EC;Guayas;Reserva EcolÃ³gica Manglares - Churute. Cerro CimalÃ³n.  Colecciones generales entre 100-670 m, transectos de 50 x 2 m x 5 en la cumbre del cerro a 670 m. Bosque primario ligero alterado, hÃºmedo, suelo rocoso, topografÃ­a pendiente.;-79.58333;-2.4
29348;Acalypha villosa ;BO;Santa Cruz;PARQUE NACIONAL AMBORÃ“. Santa Rosa de Lima;;
29456;Acalypha villosa ;BO;Santa Cruz;Progresiva del Entre San Juan y el Campamento Don Mario. DDV 175+000. Bosque Chiquitano alto, suelo franco arenosos. Especies abundantes Cedro, Curupau, tajibo morado.;-59.64361;-17.35166
29465;Acalypha villosa ;BO;Santa Cruz;Los Sitanos, 75 km al S de Vallegrande.;-63.95;-18.86805
29471;Acalypha villosa ;BO;La Paz;4.5 km below Yolosa, then 7.4 km W on road up RÃ­o Huarinilla.  Disturbed moist forest, mostly secondary growth with a few large trees.;-67.8;-16.2
29472;Acalypha villosa ;CO;Valle del Cauca;quebrada El Rey, vÃ­a hacia El Dovio. Altura 1100 m.;-77.013889;4.428056
29484;Acalypha villosa ;EC;Esmeraldas;Along road between Esmeraldas and Borbon, between Lagarto and Borbon, 2.5 km W of Borbon.;-79;1.08333
29490;Acalypha villosa ;VE;Carabobo;Along old highway between Las Trincheras and El Cambur 1.5 km N of the bridge over Rio Trincheras at N edge of Las Trincheras.;-68.08333;10.35
29491;Acalypha villosa ;PE;San MartÃ­n;Province of Tarapoto;;
29552;Acalypha villosa ;BO;Santa Cruz;"Ca. 5 km SSW of Cotoca, vic. clay pits and brick works near Flat, near """""""" Santa Rosa de Provote. Weedy roadside with herbs and shrubs. Disturbed semi-deciduous subtropical or chaco forest, partially cleared for pastures. with Aspidosperma cylindrocarpum, Reichenbachia hirsuta. Fine sandy and clay soil, flat.";-63;-17.78333
29557;Acalypha villosa ;BO;Santa Cruz;At Puente Las Chacras on the Montero-Okinawa hwy. 14 km ENE from hwy., junction just N of Montero. Brushy areas and disturbed woods along channel.;-63.15;-17.28333
29575;Acalypha villosa ;BO;Santa Cruz;2-3 km. by dirt road SE of Santiago El Torno. Subtropical decifuous forest of Anadenanthera macrocarpa, Cnidoscolus basiacanthus, Astronium, on highly dissected terrain on unconsolidated reddish sandy silt. Mostly deciduous now, but some trees sprouting new leaves at end of dry season. Much being cleared for cattle pasture and plantations of Citrus and other fruit crops. Some Attalea speciosa, especially in the valley bottoms.;-63.36666;-18.01666
29589;Acalypha villosa ;BO;Santa Cruz;OProv. AndrÃ©s IbÃ¡Ã±ez, at quebrada, 10.5 km SSE of center of Cotoca, 9.5 km. SSE of turnoff from highway bypass at Cotoca on dirt road to Paurito. Flat Chaco scrub forest, mostly 5-10 m. Tall, with much in vicinity cleared for fields and pastures. Ruprechitia triflora, Diplokeleba floribunda, Tabebuia nodosa, Anadenanthera macrocarpa, Ceiba samauma.;-62.95;-17.83333
29611;Acalypha villosa ;BO;Santa Cruz;Prov. Andres Ibanez, 7 km. SE of Naranjillos on road from Santa Cruz to Abapo, at junction with railroad. Flat, sandy soil, disturbed subtropical deciduous forest with some chaco forest species.;-63.2;-18.04166
29620;Acalypha villosa ;PE;Tumbes;"Matapalo, borde de la carretera entre campamento de evaluaciÃ³n permanente y parcela V """"""""Campo Verde"""""""". Colectado con H. Osores, M. Romero, M. Carero, R. OcaÃ±a, A. Grandez, H. DÃ­az & D. DÃ­az.";-80.25833;-3.84138
29707;Acalypha villosa ;EC;Guayas;El Limonal on the NE corner of Capeira just below La Toma, the water treatment plant for Guayaquil.;-79.963;-2.0195
29715;Acalypha villosa ;EC;Guayas;Capeira, km 21, Guayaquil to Daule. Tropical dry forest.;-79.96666;-2
29716;Acalypha villosa ;EC;Los RÃ­os;Rio Palenque Biological Station, km 56 Rd. Quevedo-Sto. Domingo.;-79.36666;-0.58333
29731;Acalypha villosa ;EC;Esmeraldas;Esmeraldas-Colonel C. concha road, c. 7 km S of Tabiazo. Secondary evergreen tropical forest.;-79.68333;0.75
29732;Acalypha villosa ;EC;Esmeraldas;RÃ­o Cayapa. Zapallo Grande. 1 km uperiver the village a trail on the left bank was followed into the forest. The trail rise steeply. Disturbed an primary forest.;-78.91666;0.8
29733;Acalypha villosa ;EC;Esmeraldas;RÃ­o Cayapa. Zapallo Grande. Farmland close to the village.;-78.9;0.8
29734;Acalypha villosa ;EC;Esmeraldas;RÃ­o Cayapa, Zapallo Grande. RÃ­o Zapallo Grande (tributary of RÃ­o Cayapa) was followed 500 m. upriver. From the left bank a trail led into the forest. Through disturbed areas finally primary upland forest was reached on a ridge.;-78.9;0.8
29736;Acalypha villosa ;EC;Pichincha;Km. 37 on the road from Santa Domingo to Quevedo. Forest remnants on about 10 ha. left. Dominated by tall Ceiba, palms and Cecropia.;-79.41666;-0.53333
29741;Acalypha villosa ;CO;Antioquia;Mpio. de Antioquia;;
29742;Acalypha villosa ;CO;Antioquia;Mpio. de Antioquia;;
29743;Acalypha villosa ;CO;Antioquia;Km 24 of road Bolombolo-AnzÃ¡ (24 km before AnzÃ¡). Disturbed roadside.;-75.86666;6.15
29766;Acalypha villosa ;CO;La Guajira;Bosque de la Cueva, 15 km S of Mingueo on trail to Pueblo Viejo. TRANSECT 9;-73.46666;11.08333
29782;Acalypha villosa ;EC;Los RÃ­os;Rio Palenque Biological Station. Km. 56 Quevedo-Santo Domingo.;-79.36666;-0.58333
29815;Acalypha villosa ;PY;Presidente Hayes;ConcepciÃ³n - Pozo Colorado.  Palm forest.;-58.133333;-23.533333
29818;Acalypha villosa ;PE;Cusco;Quillabamba, Mandor.;-72.73333;-12.88333
29822;Acalypha villosa ;PE;Cusco;Quillabamba, Salaspampa. Road to Kiteni;;
29824;Acalypha villosa ;PE;Cusco;RÃ­o Manguriari (Manguyari).  Alto Urubamba;;
29829;Acalypha villosa ;PE;Cusco;Cocalpampa, Chaullay, Maranura, Quillabamba La ConvenciÃ³n. Quintalpata +/- 150 km NW from Cusco on the road from Cusco to Kiteni.;-72.78333;-12.81666
29856;Acalypha villosa ;EC;Esmeraldas;Reserva EcolÃ³gica Mache-Chindul.  Comunidad CaÃ±a    Braval.        Cabaceras    del    RÃ­o    Viche,    estero    Sabaleta. Tropical Wet Forest.;-79.75;0.41666
29882;Acalypha villosa ;VE;Sucre;Peninsula de Araya, 20 km northwest of Cariaco by air;;
29904;Acalypha villosa ;VE;TÃ¡chira;RÃ­o Negro. 0.5 to 2 km from main highway, road adjacent to river. Secondary forest on slope above river.;-72.16666;7.58333
29909;Acalypha villosa ;VE;Barinas;5 km NW of El Pescado on road from La Yuca. Forest along river.;-70.23333;8.78333
29911;Acalypha villosa ;VE;Barinas;5 km NW of El Pescado on road from La Yuca. Forest along river.;-70.23333;8.78333
30309;Acalypha villosa ;BO;Santa Cruz;Jardin BotÃ¡nico de Santa Cruz, 12 km al este del centro de la ciudad. Bosque subhÃºmedo semideciduo de llanura.;-63.06666;-17.78333
30310;Acalypha villosa ;BO;Santa Cruz;Jardin BotÃ¡nico de Santa Cruz, 12 km al este del centro de la ciudad. Bosque subhÃºmedo semideciduo de llanura.;-63.06666;-17.78333
30347;Acalypha villosa ;BO;Santa Cruz;Jardin BotÃ¡nico de Santa Cruz, a 12 km al este de la ciudad, sobre la carretera a Cotoca. Bosque subhÃºmedo semideciduo de llanura.;-63.06666;-17.78333
30348;Acalypha villosa ;BO;Santa Cruz;Jardin BotÃ¡nico de Santa Cruz, a 12 km al este de la ciudad, sobre la carretera a Cotoca. Bosque subhÃºmedo semideciduo de llanura.;-63.06666;-17.78333
30435;Acalypha villosa ;EC;Esmeraldas;Comuna de San Miguel -La Cooperativa- (rÃ­o San Miguel, afluente del Cayapas). Cerca al rÃ­o San Miguel, entre vegetaciÃ³n de bosque secundario maduro con gÃ©neros representativos de Pithecellobium, Castilla, Apeiba, Nectandra, Ocotea, Herrania, etc.;-78.9;0.73333
30513;Acalypha villosa ;EC;Guayas;Bosque Protector Cerro Blanco. Mid-slopes of Cerro Blanco, along Sendero Buenavista above visitor center. Tropical Dry Forest on limestone substrate.;-79.966667;-2.166667
