"","spp","countryCode","stateProvince","locality","lon","lat"
"63","Pouteria caimito ","PE","","Perú. Departament de San Martín. Districte de Chazuta. Llucanayacu",-76.06,-6.56
"64","Bixa orellana ","PE","","Perú. Departament de San Martín. Districte de Chazuta. Llucanayacu",-76.06,-6.56
"65","Apuleia leiocarpa ","PE","","Perú. Departament de San Martín. Districte de Chazuta. Llucanayacu",-76.06,-6.56
"66","Guazuma ulmifolia ","PY","","Atyrá.Casa del Monte. Departamento Cordillera",-57.15,-25.28
"67","Inga marginata ","PE","","Perú. Departament de San Martín. Districte de Chazuta. Chazuta",-76.13,-6.57
"68","Inga marginata ","EC","Napo","Parroquia Linares.  Terraza plana, coluvial hasta la orilla del Río Quijos, propiedad de la familia Pailiacho.  Sendero del Motmot.  Bosque siempreverde montano bajo.   Con C.I. Reyes y S. Pailiacho.  Especies leñosas marcadas en el Sendero Motmot.",-77.815278,-0.373889
"69","Alchornea triplinervia ","BR","Santa Catarina","Rio do meio. Margem da pastagem próximo ao rio.",-49.158611,-28.003611
"70","Persea americana ","CO","Cundinamarca","",-74.42797,4.92891
"71","Myrsine guianensis ","CO","Cundinamarca","",-73.80166,4.8325
"72","Genipa americana ","CO","Casanare","",-72.653917,4.510111
"73","Guazuma ulmifolia ","CO","Casanare","",-71.127333,5.493194
"74","Guazuma ulmifolia ","CO","Cundinamarca","",-74.42614,4.56047
"75","Maclura tinctoria ","CO","Casanare","",-72.28333,5.32
"76","Maclura tinctoria ","CO","Casanare","",-72.28333,5.32
"77","Myrsine guianensis ","CO","Cundinamarca","",-74.10211,4.93513
"78","Myrsine guianensis ","CO","Cundinamarca","",-74.10211,4.93513
"79","Guazuma ulmifolia ","CO","Caldas","",-74.7,5.53333
"80","Panicum maximum ","CO","Cundinamarca","",-74.42614,4.56047
"81","Acnistus arborescens ","CO","Cundinamarca","",-74.42614,4.56047
"82","Bixa orellana ","CO","Cundinamarca","",-74.42797,4.92891
"83","Cajanus cajan ","CO","Cundinamarca","",-74.433333,4.96666
"84","Inga vera ","CO","Cundinamarca","",-74.44388,4.89432
"85","Acnistus arborescens ","CO","Cundinamarca","",-74.44388,4.89432
"86","Pterogyne nitens ","CO","Valle del Cauca","",-76.58097,3.41033
"87","Maclura tinctoria ","CO","Norte de Santander","",-72.50517,8.08413
"88","Anadenanthera peregrina ","CO","Meta","",-73.627092,4.123861
"89","Inga vera ","CO","Meta","",-73.627092,4.123861
"90","Persea americana ","CO","Cundinamarca","",-74.433333,4.96666
"91","Persea americana ","CO","Cundinamarca","",-74.433333,4.96666
"92","Acnistus arborescens ","CO","Cundinamarca","",-74.433333,4.96666
"93","Mangifera indica ","CO","Cundinamarca","",-74.42797,4.92891
"94","Maclura tinctoria ","CO","Tolima","",-74.91233,4.15089
"95","Guazuma ulmifolia ","BR","Pernambuco","Usina São José; Fragmento Capoeira 3",-34.906111,-7.834444
"96","Guazuma ulmifolia ","BR","Pernambuco","Usina São José; Fragmento Capoeira 4 Pezinho",-34.906111,-7.834444
"97","Guazuma ulmifolia ","BR","Pernambuco","Usina São José; Fragmento Br.",-34.906111,-7.834444
"98","Guazuma ulmifolia ","BR","Minas Gerais","Parque Estadual do Sumidouro, Trilha da Travessia Sumidouro",-43.960556,-19.548056
"99","Balfourodendron riedelianum ","BR","Minas Gerais","",-42.537222,-19.705278
"100","Lecythis pisonis ","BR","Espírito Santo","São Rafael.",-40.221389,-19.443611
"101","Peltophorum dubium ","BR","Bahia","Piemonte da Diamantina, entorno do Parque Sete Passagens, Ponto 220.",-40.553056,-11.356111
"102","Guazuma ulmifolia ","BR","Mato Grosso","Baía do Malheiros",-57.684444,-16.058028
"103","Guazuma ulmifolia ","BR","Mato Grosso","Rio Cabaçal, Foz do rio Cabaçal, próximo a baía Negra",-57.704917,-15.997333
"104","Guazuma ulmifolia ","BR","Mato Grosso","Estação Ecológica da Serra das Araras, Material coletado no segundo plot.",-57.226306,-15.668194
"105","Guazuma ulmifolia ","BR","Mato Grosso","Estação Ecológica da Serra das Araras, Material coletado no primeiro plot.",-57.212694,-15.650944
"106","Guazuma ulmifolia ","BR","Mato Grosso","Porto Limão",-58.010694,-16.145556
"107","Guazuma ulmifolia ","BR","Mato Grosso","Bairro Cavalhada II, Terreno à margem da rua Cabaçal.",-57.680556,-16.0675
"108","Guazuma ulmifolia ","BR","Mato Grosso","Porto Limão",-58.010694,-16.145556
"109","Persea americana ","BR","Bahia","Serra dos Morgados, caminho para a Pingueira",-40.238061,-10.254736
"110","Croton floribundus ","BR","São Paulo","Fazenda Monte Alegre.",-48.906111,-22.434722
"111","Alchornea glandulosa ","EC","El Oro","Cuenca del Río Jubones.  Bosque Protector Casacay.  Bosque semideciduo piemontano.",-79.7085,-3.322
"112","Handroanthus heptaphyllus ","BR","Espírito Santo","Área de Restauração Natural da Fibria",-40.403167,-17.963167
"113","Cordia trichotoma ","BR","Ceará","Monumento Natural dos Monólitos de Quixadá",-39.081972,-4.91925
"114","Myrsine guianensis ","BR","Espírito Santo","Itaúnas, Área de Restauração Natural da Fibria",-39.737333,-18.500083
"115","Inga marginata ","BR","Paraná","PCH Bela Vista",-52.900833,-25.807222
"116","Senegalia polyphylla ","BR","Mato Grosso do Sul","Morraria Grande, próximo a lavra da Vetorial Mineradora",-57.526833,-19.279583
"117","Panicum maximum ","BR","Paraná","UNEPE, Restauração Ecológica Nucleação: Banco de sementes: parcela 10, sub parcela 9",-53.101944,-25.696944
"118","Solanum granulosoleprosum ","BR","Santa Catarina","Rio Natal, Linha férrea, próximo à estação de trem",-49.287222,-26.359444
"119","Senna multijuga ","BR","Bahia","RPPN Serra Bonita, 9,7 km W de Camacã, na estrada para Jacarecí, dai 6 km SW na estrada para a RPPN e Torre da Embratel",-39.565278,-15.391667
"120","Paubrasilia echinata ","BR","Espírito Santo","Área de Restauração Natural da Fibria",-40.403167,-17.963167
"121","Cordia trichotoma ","BR","Rio de Janeiro","Conglomerado 272-Ex11, próximo a Pedra Redonda",-41.94,-21.42
"122","Joannesia princeps ","BR","Espírito Santo","Área de Restauração Natural da Fibria",-40.354444,-19.57325
"123","Enterolobium contortisiliquum ","BR","Santa Catarina","Rua Lateral Rodovia BR-470",-50.580278,-27.450556
"124","Genipa americana ","BR","Ceará","Cachoeira no Riacho Teotônio",-39.708361,-4.737889
"125","Inga marginata ","BR","Bahia","RPPN Serra Bonita, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel",-39.565278,-15.391667
"126","Cordia superba ","BR","Bahia","Estrada Itatim - Castro alve, frente ao aeroporto, BR-101",-39.466667,-12.85
"127","Albizia niopoides ","BR","Paraná","PCH Bela Vista",-52.900833,-25.807222
"128","Solanum granulosoleprosum ","BR","Santa Catarina","Rio Natal, Linha férrea, próximo à estação de trem",-49.287222,-26.359444
"129","Cordia superba ","BR","Bahia","Fazenda São Domingo, Morro São Domingo",-39.783333,-12.733333
"130","Enterolobium contortisiliquum ","BR","Bahia","Fazenda da Cachoeira, CEAM",-42.288306,-13.823139
"131","Inga vera ","BR","Ceará","Parque Estadual Sítio Fundão, Rio Batateiras",-39.443028,-7.234389
"132","Senna multijuga peregrinatrix","BR","Rio de Janeiro","Serra das Araras, Crista para o Morro Pedra da Cuca",-43.275389,-22.417583
"133","Alchornea triplinervia ","BR","Paraná","PCH Bela Vista",-52.900833,-25.807222
"134","Alchornea glandulosa ","BR","Santa Catarina","Morro do Céu",-49.37,-28.678056
"135","Cariniana estrellensis ","BR","Rio de Janeiro","Parque Estadual da Serra da Concórdia, estrada para as torres.",-43.782778,-22.362222
"136","Inga marginata ","BR","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, Beira da estrada principal do parque, próximo a sede",-42.988611,-22.449167
"137","Enterolobium contortisiliquum ","AR","Salta","3 km de la Ruta Nacional 34 camino de Piquirenda a El Chorrito, Snía. de Tartagal",-63.783333,-22.333333
"138","Dalbergia nigra ","BR","Bahia","Fibria, Área de Restauração Natural",-39.688194,-17.255778
"139","Inga marginata ","BR","Paraná","PCH Bela Vista",-52.900833,-25.807222
"140","Maclura tinctoria ","BR","Bahia","Fazenda da Cachoeira, CEAM",-42.289722,-13.822861
"141","Senna multijuga ","BR","São Paulo","Parque Estadual da Serra do Mar, Estrada Intermediária da PETROBRAS. Trilha do Rio Pardo",-45.667222,-23.659444
"142","Bixa orellana ","BO","Beni","",-67.4,-14.433333
"143","Alchornea glandulosa ","BR","Rio de Janeiro","Parque Estadual dos Três Picos, Reserva Ecológica de Guapiaçu. Guapiaçu. REGUA - Trilha verde",-42.737778,-22.397222
"144","Cordia trichotoma ","BR","Rio de Janeiro","Região rural entre a RJ-106, a Estrada do Imburo, a Av. Industrial e as localidades Balacó e Lot. Paradiso. Projeto - Terminal Portuário de Macaé",-41.748333,-22.294444
"145","Peltophorum dubium ","BR","Bahia","Fazenda Cachoeira, Prox. à bacia de finos.",-42.288778,-13.829528
"146","Cajanus cajan ","BR","Paraná","área urbana",-49.245556,-25.420556
"147","Albizia niopoides ","BR","Mato Grosso do Sul","Morraria Grande, próximo a lavra da Vetorial Mineradora",-57.526833,-19.279583
"148","Myrsine guianensis ","BR","Santa Catarina","",-48.87,-28.44
"149","Clitoria fairchildiana ","BR","Alagoas","Parque Municipal de Maceió, Trilha Principal.",-35.765131,-9.605
"150","Copaifera langsdorffii ","BR","Bahia","Sítio Rio Grande, Barragem Rio das Fêmeas",-44.976881,-12.357194
"151","Copaifera langsdorffii ","BR","Bahia","Sítio Rio Grande, Barragem Rio das Fêmeas",-44.976881,-12.357194
"152","Senna multijuga ","BR","Santa Catarina","Santur - Zoo de Balneário Camboriú.",-48.615,-27.013889
"153","Enterolobium contortisiliquum ","BR","Santa Catarina","Lagoa do Perequê.",-48.581111,-27.150833
"154","Cordia trichotoma ","BR","Santa Catarina","Itoupava Rega.",-49.120278,-26.626944
"155","Persea americana ","BR","Santa Catarina","Rio Natal. Estrada de ferrro, próximo às Quatro Pontes.",-49.311389,-26.340833
"156","Senna multijuga ","BR","Santa Catarina","Rio Vermelho. Propriedade de Luiz Muehlmann.",-49.27,-26.271667
"157","Panicum maximum ","BR","Maranhão","Município de Loreto: """"""""Ilha de Balsas"""""""" region between the Balsas & Pernaíba Rivers. Santa Bárbara on the Parnaíba River. 55 km SSE of Loreto.",-45.05,-7.5
"158","Panicum maximum ","PY","Alto Parana","Dep. Alto Paraná. 2 Km N de Hernandarias, camino a Salto del Guaira.",-54.58,-25.28
"159","Panicum maximum ","BR","Mato Grosso","Royal Society/Royal Geographical Society Expedition 1967-1969. Central Brazilian Plateau. Expedition Base Camp. Km. 183, Xavantina - Cachimbo road.",-51.77,-12.82
"160","Panicum maximum ","BR","Bahia","Mun. Ipiaú: 3 km N of Ipiaú City. Along many roads in Bahia.",-39.75,-14.12
"161","Panicum maximum ","BO","Santa Cruz","Cordillera, Río Saipuru, 30km N of Charagua. River valley and adjacent hills of andean piedmont, Gran Chaco dry forest.",-63.25,-19.5
"162","Panicum maximum ","BR","Maranhão","Município de Barra do Corda: outskirts of Barra do Corda, ca. 1 km south of center of city. At """"""""Sítio dos Ingleses"""""""" school ground, on east slope of Rio Corda River valley.",-45.25,-5.52
"163","Panicum maximum ","PY","San Pedro","Around Rosario. Paranense Forest.",-57.1044,-24.3775
"164","Panicum maximum ","PY","Caazapa","National Park Caaguazú.",-55.5067,-26.0811
"165","Panicum maximum ","PY","Boqueron","Mariscal Estigarribia.",-60.6144,-22.0303
"166","Panicum maximum ","PY","Caazapa","National Park Caaguazú.",-55.5067,-26.0811
"167","Panicum maximum ","BR","Mato Grosso","Royal Society/Royal Geographical Society Expedition 1967-1969. Central Brazilian Plateau. Expedition Base Camp. Nr base camp.",-51.77,-12.82
"168","Panicum maximum ","VE","Aragua","Mun. Autonomo Girardot vertiente norte, Pque. Nacional H. Pittier, entre Bahia de Cata y Cuyagua.",-67.7,10.5
"169","Panicum maximum ","BR","Bahia","Itanagra, Litoral Norte, Núcleo Agroecológico de Nova Itapecirica.",-37.9794,-12.3744
"170","Panicum maximum ","EC","Pichincha","NE of Vicente Maldonado. Reserva de ENDESA.",-79.03,0.08
"171","Inga marginata ","BR","Espirito Santo","Alto Santa Maria",-40.835833,-20.129167
"172","Alchornea glandulosa ","CO","Santander","Vereda el centro",-72.9641,7.285755
"173","Myrsine guianensis ","CO","Santander","Vereda Mongora",-72.907786,7.352247
"174","Genipa americana ","CO","Santander","Peñas Negras. Matriz Fragmentada. Subcuenca del Río Salamanca",-73.243619,7.281028
"175","Inga vera spuria","CO","Santander","Universidad Pontificia Bolivariana.",-73.071786,7.037847
"176","Alchornea glandulosa ","CO","Santander","Vereda Bremen. Bosque de la finca El Siglo",-73.084167,7.344611
"177","Maclura tinctoria ","CO","Santander","Chocoa",-73.164944,6.906
"178","Acnistus arborescens ","CO","Santander","Vereda Sinaí. Finca Los Olivos",-73.061583,7.4125
"179","Guazuma ulmifolia ","CO","Santander","Cerros Orientales. Área Urbana",-73.107389,7.109119
"180","Guazuma ulmifolia ","CO","Santander","Cerros Orientales. Área Urbana",-73.107389,7.109119
"181","Myrsine guianensis ","CO","Santander","Predio AUX",-72.910556,7.339778
"182","Panicum maximum ","CO","Santander","Vereda Sogamoso, Hacienda Trigueros. Aprox. 1,5 km arriba del curso del R. Sogamoso. Altura 220 msnm. Coord. aprox. N 1079038 y E 1274033.",-73.354639,7.094611
"183","Alchornea glandulosa ","CO","Santander","Corregimiento Uno. Vereda Aburrido Alto. Finca Villa Vista",-73.097611,7.24025
"184","Genipa americana ","CO","Santander","Colección Ex situ Jardín Botánico Eloy Valenzuela",-73.088572,7.068072
"185","Panicum maximum ","CO","Santander","Escarpa Occidental",-73.148383,7.118464
"186","Alchornea glandulosa ","CO","Santander","Estación Experimental El Rasgón",-72.9345,7.049125
"187","Alchornea glandulosa ","CO","Santander","Vereda Gualilo. Sitio Caño Picho.",-73.093967,7.133031
"188","Inga marginata ","CO","Santander","Finca Los Alpes",-73.251553,7.587158
"189","Inga marginata ","CO","Santander","Finca Los Alpes",-73.251553,7.587158
"190","Guazuma ulmifolia ","CO","Santander","Sector Pescadero orilla de la quebrada Chinavega",-73.01,6.835833
"191","Persea americana ","CO","Santander","Estación Experimental El Rasgón",-72.9345,7.049125
"192","Alchornea glandulosa ","CO","Santander","Estación Experimental El Rasgón",-72.9345,7.049125
"193","Guazuma ulmifolia ","CO","Santander","Cerros Orientales. Área Urbana",-73.107389,7.109119
"194","Guazuma ulmifolia ","BR","São Paulo","Propriedade do professor Lin Chau Ming",-48.448056,-22.992222
"195","Solanum granulosoleprosum ","BR","Piauí","Rodovia Santa Isabel (PI 392), em direção à Estação Ecológica de Uruçuí-Una.",-44.601667,-8.829722
"196","Guazuma ulmifolia ","CO","Caquetá","Sede Centro Universidad de la Amazonia, Jardín Botánico Uniamazonia",-75.605883,1.608733
"197","Guazuma ulmifolia ","CO","Caquetá","Barrio Versalles, Jardín Botánico Uniamazonia",-75.607536,1.605708
"198","Solanum lycocarpum ","BR","Minas Gerais","Projeto Bacia Rio Uberabinha",-48.073056,-19.146667
"199","Copaifera langsdorffii ","BR","Bahia","Parque Estadua de Morro do Chapéu;",-41.271528,-11.480833
"200","Cariniana estrellensis ","BR","Pr","Parque Nacional do Iguaçu, cercanias da",-53.844444,-25.1525
"201","Alchornea glandulosa ","BR","Pr","Estação Ecológica Municipal Corredor das",-51.815639,-25.974306
"202","Zeyheria tuberculosa ","BR","Ms","Reserva legal da fazenda Mandioré, oeste da Serra do Amolar.",-57.625833,-17.920278
"203","Panicum maximum ","BR","Pe","Engenho Curtume, vegetação degradada do entorno da Pedra do Uruçu.",-35.839889,-8.804361
"204","Cordia trichotoma ","BR","Ceará","Centro Ecológico RPPN Serra das Almas",-40.866944,-5.1415
"205","Solanum lycocarpum ","BR","Mato Grosso do Sul","Margem da ferrovia",-51.160278,-20.031389
"206","Hymenaea courbaril ","BR","Sp","P.E.Carlos Botelho",-47.933611,-24.184444
"207","Senegalia polyphylla ","BR","Mato Grosso do Sul","15 km a oeste da Rodovia MS-162, na estrada MS-347 para Nioaque.",-55.423333,-20.739722
"208","Senegalia polyphylla ","BR","Paraná","Campus da Unila, Jardim universitário",-54.3425,-25.2754
"209","Maclura tinctoria ","BR","Santa Catarina","By Rio Urugual, 3 km W of Itapiranga",-53.733333,-27.166667
"210","Panicum maximum ","CO","Norte de Santander","Norte de Santander, San Jose de Cucuta.",-72.454406,8.033444
"211","Myrsine guianensis ","CO","Norte de Santander","",-72.531583,7.423417
"212","Myrsine guianensis ","CO","Boyacá","",-72.530278,6.571944
"213","Alchornea glandulosa ","CO","Santander","",-73.119103,7.124294
"214","Maclura tinctoria ","CO","Santander","",-73.176469,7.084467
"215","Guazuma ulmifolia ","CO","Santander","",-73.176469,7.084467
"216","Acnistus arborescens ","CO","Santander","",-72.916544,7.363633
"217","Myrsine guianensis ","CO","Santander","",-73.176469,7.084467
"218","Guazuma ulmifolia ","CO","Santander","",-73.176469,7.084467
"219","Senna multijuga multijuga","VE","Edo. Miranda","Altos de Pipe, carretera Panamericana km. 11, INVIC.",-66.966667,10.4
"220","Panicum maximum ","CO","Cesar","Plantación Indupalma Ltda. borde de la carretera, entre las oficinas la Planta Industrial y el Vivero.",-73.45388,7.81576
"221","Panicum maximum ","CO","Cesar","Plantación Indupalma Ltda. Parcela E07B La Viuda.",-73.45388,7.81576
"222","Mangifera indica ","CO","Santander","",-73.055633,6.990272
"223","Bixa orellana ","CO","Santander","",-73.05165,6.988989
"224","Maclura tinctoria ","CO","Santander","Santander, Cimitarra, Sector el 28, finca El Dorado",-74.086167,6.43115
"225","Cajanus cajan ","CO","Santander","Vereda La Belleza, camino entre la carretera y la casa del señor Santiago Estrada; zona de bosque húmedo tropical con diferentes grados de intervención (regeneración, bosques entresacados y relictos)",-73.573314,6.594781
"226","Maclura tinctoria ","CO","Santander","Santander, Cimitarra, Sector el 28, finca El Dorado",-74.125667,6.390567
"227","Guazuma ulmifolia ","CO","Santander","Santander, Cimitarra, Sector el 28, finca El Dorado",-74.086167,6.43115
"228","Alchornea triplinervia ","CO","Santander","Vereda La Salina, trocha entre el campamento (7,0029722 / -72,873972) y la quebrada y hacienda San Francisco. Bosque andino fragmentado y en regeneración.",-72.886,6.994
"229","Inga vera ","CO","Santander","Entre Pescadero y Piedecuesta.",-73.0357,6.89134
"230","Alchornea triplinervia ","CO","Santander","Vereda La Salina; carretera hacia la hacienda San Francisco; bosque Andino, zona entresacadas con fragmentos relictuales.",-72.886,6.994
"231","Alchornea glandulosa ","CO","Santander","Vereda La Salina, trocha subiendo desde el campamento (7,0029722 / -72,873972) hacia el páramo (7,00364 / -72,87414). Bosque andino relictual.",-72.886,6.994
"232","Hymenaea courbaril ","CO","Meta","vereda manacacias, Km 23 vía Rubiales, Finca Manacacias",-72.039192,4.173631
"233","Genipa americana ","CO","Meta","vereda manacacias, Km 23 vía Rubiales, Finca Manacacias",-72.038,4.178278
"234","Alchornea triplinervia ","BR","Goiás","Parque Estadual dos Pirineus",-48.824444,-15.800278
"235","Myrsine guianensis ","BR","Goiás","Parque Estadual dos Pirineus",-48.824444,-15.800278
"236","Enterolobium contortisiliquum ","BR","São Paulo","Estrada Municipal para Piapara",-48.410125,-22.880097
"237","Alchornea triplinervia ","BR","Paraná","Parque Estadual São Camilo",-53.914444,-24.305556
"238","Solanum lycocarpum ","BR","São Paulo","Rodovia Marechal Rondon. SP-300",-48.4598,-22.885792
"239","Croton floribundus ","BR","São Paulo","Fazenda Bacury (antes parte da Fazenda Barreiro Rico)",-48.137778,-22.673611
"240","Peltophorum dubium ","BR","Paraná","ARIE (Área de Relevante Interesse Ecológico)",-54.35,-24.833333
"241","Inga marginata ","BR","Paraná","Parque Estadual São Camilo",-53.914444,-24.305556
"242","Joannesia princeps ","BR","São Paulo","Praça do Bosque.",-48.433942,-22.883861
"243","Copaifera langsdorffii ","BR","São Paulo","Fazenda Nossa Senhora da Conceição.",-48.549294,-22.748706
"244","Panicum maximum ","BR","Paraná","Aparentemente infestante em área abandonada.",-54.342408,-24.847403
"245","Inga marginata ","BR","Paraná","",-54.347706,-24.8428
"246","Pterogyne nitens ","BR","Paraná","",-54.337339,-24.848064
"247","Maclura tinctoria ","BR","Paraná","Refúgio Biológico de Santa Helena.",-54.340972,-24.850556
"248","Guazuma ulmifolia ","BR","São Paulo","Córrego Tanquinho",-48.449831,-22.893317
"249","Cordia trichotoma ","BR","São Paulo","Morro do Serrito II",-48.404525,-22.607875
"250","Cajanus cajan ","BR","São Paulo","Córrego Lavapés.",-48.439444,-22.881389
"251","Croton urucurana ","BR","São Paulo","Córrego Tanquinho",-48.448406,-22.889553
"252","Citharexylum myrianthum ","BR","Paraná","",-54.332281,-24.844353
"253","Copaifera langsdorffii ","BR","São Paulo","Cultivada na arborização urbana.",-48.443311,-22.857972
"254","Panicum maximum ","BR","","BRASILIA: c. 100 km N.W. Saõ Paulo, pag. Jaguariuna. 22° 44' S, 47° 09' W. Alt. c. 500 m.",-47.15,-22.733334
"255","Maclura tinctoria ","BR","Ceará","Estação Ecológica de Aiuaba",-40.050283,-6.570011
"256","Guazuma ulmifolia ","CO","Norte de Santander","Vereda El Limón",-73.363611,8.320556
"257","Myrsine guianensis ","CO","Norte de Santander","Vereda Toledito, cerca del perímetro urbano",-72.486358,7.320447
"258","Myrsine guianensis ","CO","Norte de Santander","Vereda Toledito, cerca del perímetro urbano",-72.486358,7.320447
"259","Guazuma ulmifolia ","CO","Norte de Santander","Vereda La Garita",-72.520556,7.788056
"260","Senegalia polyphylla ","CO","Norte de Santander","Vereda San Pedro; Hacienda Carrillo",-72.579444,7.731944
"261","Clitoria fairchildiana ","BR","São Paulo","IAC - Fazenda Santa Elisa; Coleção de plantas medicinais do Centro de Horticultura",-47.077222,-22.870278
"262","Cordia trichotoma ","BR","Pernambuco","",-38.115125,-7.844006
"263","Copaifera langsdorffii ","BR","Paraíba","",-38.564361,-7.194722
"264","Apuleia leiocarpa ","BR","Rio Grande do Norte","",-36.526389,-6.061944
